survey,variable,year,quarter,n,mean,median,sd,iqr
us,RGDP10,1994,1,26,2.7807692307692307,2.6500000000000004,0.348733973990755,0.4750000000000001
us,RGDP10,1995,1,28,2.707142857142857,2.7,0.2053516792463898,0.2999999999999998
us,RGDP10,1996,1,38,2.391578947368421,2.3,0.38599486284068935,0.46750000000000025
us,RGDP10,1997,1,36,2.426111111111111,2.5,0.25989314043361056,0.2999999999999998
us,RGDP10,1998,1,31,2.5548387096774197,2.5,0.25144742283748484,0.40000000000000036
us,RGDP10,1999,1,31,2.624193548387097,2.5,0.34444906922551344,0.34999999999999964
us,RGDP10,2000,1,34,3.097058823529412,3.05,0.40036747825848545,0.4750000000000001
us,RGDP10,2001,1,33,3.3000000000000003,3.3,0.4242640687119285,0.5
us,RGDP10,2002,1,33,3.074242424242424,3.0,0.3338041182998487,0.20000000000000018
us,RGDP10,2003,1,34,3.2058823529411766,3.2,0.4126346806548674,0.5
us,RGDP10,2004,1,27,3.37962962962963,3.4,0.38562119197951716,0.34999999999999964
us,RGDP10,2005,1,33,3.2551515151515154,3.3,0.4484356225544059,0.5
us,RGDP10,2006,1,49,3.189183673469388,3.2,0.300553910407475,0.3999999999999999
us,RGDP10,2007,1,44,3.0096727272727275,3.0,0.22253437922391917,0.39250000000000007
us,RGDP10,2008,1,43,2.700279069767442,2.75,0.2257885995668341,0.2999999999999998
us,RGDP10,2009,1,37,2.576762162162162,2.56,0.383553420407518,0.5
us,RGDP10,2010,1,34,2.7193529411764708,2.7,0.36887502049971227,0.375
us,RGDP10,2011,1,34,2.927941176470588,2.835,0.4754377849351359,0.4750000000000001
us,RGDP10,2012,1,37,2.6700000000000004,2.64,0.4112244588488816,0.3999999999999999
us,RGDP10,2013,1,37,2.573772972972973,2.5,0.3470104646586073,0.3703999999999996
us,RGDP10,2014,1,38,2.5682894736842097,2.6,0.39419140006626474,0.38375000000000004
us,RGDP10,2015,1,28,2.5135107142857143,2.5,0.28303342210611904,0.37622500000000025
us,RGDP10,2016,1,28,2.2301499999999996,2.275,0.30938966261550066,0.3999999999999999
us,RGDP10,2017,1,28,2.3277642857142857,2.45,0.3428039016311585,0.43962499999999993
us,RGDP10,2018,1,27,2.1630185185185185,2.15,0.3815412186998301,0.6092500000000003
us,RGDP10,2019,1,28,2.0502821428571427,1.9849999999999999,0.3363822880940467,0.4999999999999998
us,RGDP10,2020,1,27,2.032707407407407,2.0,0.2719701410731105,0.40000000000000013
us,RGDP10,2021,1,29,2.268637931034483,2.25,0.3276597259503405,0.5
us,RGDP10,2022,1,24,2.2493125,2.275,0.31851318355419145,0.49212500000000015
us,RGDP10,2023,1,25,1.95916,2.0,0.33109561559565637,0.4089999999999998
us,RGDP10,2024,1,24,1.9807333333333332,2.0,0.2964265414782449,0.46250000000000013
us,RGDP10,2025,1,30,2.1043499999999997,2.1,0.17774627936355297,0.20000000000000018
us,RGDP10,2026,1,25,2.100984,2.1,0.2044482140624695,0.20000000000000018
